Group;  in;  out; indef; in/out;  in-out/in+out; hub_ranks; auth_ranks
Control; 7642; 7376; 10; 1.0361; 0.017712; 0.0022239; 0.0022353
Control; 8804; 8134; 5; 1.0824; 0.039556; 0.0022333; 0.0022354
Control; 7216; 7442; 12; 0.96963; -0.015418; 0.0022417; 0.0022299
Control; 5696; 5508; 8; 1.0341; 0.01678; 0.0022127; 0.0022181
Control; 6733; 6734; 8; 0.99985; -7.4256e-05; 0.0022283; 0.0022325
Control; 6829; 5590; 4; 1.2216; 0.099766; 0.0022294; 0.0022346
Control; 6011; 5883; 7; 1.0218; 0.010762; 0.0022224; 0.0022293
Control; 6667; 5918; 11; 1.1266; 0.059515; 0.002239; 0.0022284
Control; 7194; 8153; 13; 0.88237; -0.062488; 0.0022388; 0.0022361
Control; 8839; 9779; 21; 0.90388; -0.050489; 0.0022433; 0.0022345
Control; 2511; 2106; 0; 1.1923; 0.087719; 0.0021307; 0.0021937
Control; 3207; 2775; 2; 1.1557; 0.072217; 0.0021856; 0.0022009
Control; 6758; 6259; 10; 1.0797; 0.038334; 0.0022191; 0.0022362
Control; 7554; 6870; 10; 1.0996; 0.047421; 0.0022418; 0.0022292
Control; 6462; 7837; 16; 0.82455; -0.096161; 0.0022394; 0.0022192
Control; 6823; 7169; 8; 0.95174; -0.024728; 0.0022338; 0.0022219
Control; 5378; 4858; 6; 1.107; 0.050801; 0.0022107; 0.0022136
Control; 6363; 6693; 7; 0.95069; -0.025276; 0.0022348; 0.0022244
Control; 4830; 5111; 9; 0.94502; -0.028267; 0.0022052; 0.0022218
Control; 6218; 7088; 9; 0.87726; -0.065384; 0.0022338; 0.0022213
Control; 3910; 3754; 5; 1.0416; 0.020355; 0.0021961; 0.0022148
Control; 7882; 7093; 12; 1.1112; 0.052688; 0.0022418; 0.0022316
Control; 8271; 9211; 15; 0.89795; -0.05377; 0.0022433; 0.00224
Control; 6092; 6256; 7; 0.97379; -0.013282; 0.0022214; 0.0022169
Control; 7993; 7438; 14; 1.0746; 0.035967; 0.0022417; 0.0022377
Control; 7312; 6371; 10; 1.1477; 0.068771; 0.00223; 0.0022402
Control; 5548; 7441; 12; 0.7456; -0.14574; 0.0022378; 0.0022176
Control; 6323; 6042; 16; 1.0465; 0.022725; 0.002225; 0.0022259
Control; 5856; 5169; 17; 1.1329; 0.062313; 0.0022288; 0.0022226
Control; 3898; 3904; 9; 0.99846; -0.00076903; 0.0021953; 0.0022198
Control; 6803; 6250; 7; 1.0885; 0.042366; 0.0022259; 0.0022402
Control; 7530; 6963; 13; 1.0814; 0.039122; 0.002223; 0.0022333
Control; 3932; 3440; 6; 1.143; 0.066739; 0.0022054; 0.0022045
Control; 5832; 6196; 9; 0.94125; -0.030263; 0.0022321; 0.0022156
Control; 7078; 5974; 4; 1.1848; 0.084585; 0.0022233; 0.0022369
Control; 5568; 5012; 3; 1.1109; 0.052552; 0.002224; 0.002213
Control; 6566; 7116; 9; 0.92271; -0.040199; 0.0022279; 0.0022221
Control; 5670; 5609; 2; 1.0109; 0.0054083; 0.0022321; 0.0022251
Control; 7880; 6619; 4; 1.1905; 0.086972; 0.0022237; 0.0022377
Control; 5262; 5205; 3; 1.011; 0.0054457; 0.002208; 0.0022191
Control; 6577; 6418; 5; 1.0248; 0.012235; 0.0022344; 0.0022286
Control; 5189; 5331; 3; 0.97336; -0.013498; 0.0022359; 0.0022306
Control; 6676; 5161; 3; 1.2935; 0.12799; 0.0022263; 0.0022302
Control; 6576; 6430; 15; 1.0227; 0.011226; 0.0022341; 0.0022239
Control; 8084; 8297; 10; 0.97433; -0.013003; 0.0022417; 0.0022359
Control; 4869; 4455; 5; 1.0929; 0.044402; 0.0022128; 0.0022086
Control; 7368; 6387; 7; 1.1536; 0.07132; 0.0022236; 0.0022373
Control; 3472; 2795; 6; 1.2422; 0.10803; 0.0021841; 0.0022075
Control; 2054; 1596; 0; 1.287; 0.12548; 0.0021324; 0.0021556
Control; 6599; 5960; 4; 1.1072; 0.05088; 0.0022204; 0.0022155
Control; 3564; 3060; 1; 1.1647; 0.076087; 0.0022004; 0.0022003
Control; 7557; 6634; 6; 1.1391; 0.065041; 0.0022349; 0.0022433
Control; 5825; 4903; 5; 1.188; 0.085943; 0.0022142; 0.0022292
Control; 7751; 7562; 15; 1.025; 0.012342; 0.0022264; 0.0022332
Control; 4974; 4560; 5; 1.0908; 0.043424; 0.0022151; 0.0022207
